,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1953-09-01,56421.8,55186.7,48572.4,32300.0,8999.7,32512.481048907288,34468.54180279623,36255.07857513053,33119.53470553461,31626.853013960565
1953-10-01,56337.9,55066.8,48386.4,32187.4,8947.9,32656.587912701474,34626.598818442064,36400.3761311458,33581.438835563116,32450.53823025642
1953-11-01,56342.5,55162.0,48426.0,32253.1,8776.7,32761.012622560305,34872.99851046811,36901.47343339498,34139.785563506724,32871.410093980856
1953-12-01,56450.5,55564.2,48761.5,32646.4,9335.5,32597.05752313645,34583.690693093406,36137.90416431048,33889.55412053822,33614.940372961806
1954-01-01,56474.6,55475.8,48904.9,32790.6,9327.2,32779.286471794956,34779.71838362761,36705.346874959665,34644.6333641061,34315.07080245905
1954-02-01,56392.3,55477.1,48892.5,32590.2,9131.9,32886.04733875244,34978.33454662408,37086.299681358825,35044.51406045365,34984.36307345834
1954-03-01,56425.3,55527.6,48858.6,32700.1,9069.4,33085.31860726816,35302.9819080485,37501.048012614854,35610.08967959627,35535.45048789698
1954-04-01,56413.6,55548.7,48917.2,32709.5,9309.6,32819.27235025176,35087.95297866966,37553.76215152529,35847.840072078725,36572.10285389063
1954-05-01,56447.3,55472.1,48955.3,32640.9,9170.3,33024.847840678995,35239.359300046555,37880.33539406253,36240.04710093211,37160.87497489799
1954-06-01,56370.0,55397.4,48711.7,32610.4,9059.3,33138.35876040534,35411.90347326729,37981.86497980904,36775.29984831304,37859.65685719357
1954-07-01,56276.7,55501.7,48687.8,32676.5,9075.2,33276.25403947986,35816.37288556419,38399.50384459559,37513.3701298617,38579.5374743313
1954-08-01,56204.2,55466.1,48439.2,32488.2,8914.4,33379.267663226725,35549.252886195325,38493.92539032043,37899.27656243,39316.51691140054
1954-09-01,56383.2,55686.2,48945.8,33056.4,9412.5,33253.90255727723,35523.03524569187,37930.90934785977,37784.31229197877,40006.3652470176
1954-10-01,56319.4,55452.0,48888.2,33011.3,9358.7,33363.19283348709,35541.2101494714,38322.328799568306,38348.8826696569,40641.064099285366
1954-11-01,56259.1,55546.6,48647.8,32720.3,9282.2,33558.71041241669,35968.68282640701,38357.51008834877,38495.36664486029,41474.89177214464
1954-12-01,56368.7,55615.8,48481.6,32649.8,8968.9,33795.25816195718,36278.30677415912,38585.29790880344,38886.27568178778,41748.578537212234
1955-01-01,56188.2,55409.8,48421.1,32511.9,9021.3,33835.67345207652,36287.57581934131,38696.82991164924,39052.76311308416,42600.64394414192
1955-02-01,56185.3,55438.1,48411.1,32373.5,8818.8,34010.73693556198,36673.632694197186,39193.70622505041,39454.329950378495,43005.05021712889
1955-03-01,56000.7,55308.8,48250.8,32095.9,8639.6,34060.94366491399,36763.61177033617,39294.48521612161,39652.73676823721,43625.6499275369
1955-04-01,56141.0,55240.1,48131.1,32029.3,8577.5,34350.909902229825,36920.67051410512,39614.9087492463,40058.67706266785,44420.28430608401
1955-05-01,56135.9,55462.4,48735.7,32568.7,8971.5,34085.18971456339,36483.25614488561,39399.36132604182,40087.32944473991,44905.72867748118
1955-06-01,56168.0,55432.0,48584.8,32261.7,8952.2,34317.29437988309,36797.553155369205,39582.39213140667,40239.00508503327,45675.64858336563
1955-07-01,56054.4,55346.0,48570.6,32225.5,8592.8,34378.84480704182,36977.28729609269,40031.871378246164,40605.640325917506,46023.48224741124
1955-08-01,56101.8,55246.2,48335.9,31970.3,8767.4,34627.859630970874,37131.07221960844,40133.7668372213,40845.05720688041,47036.94643858875
1955-09-01,55913.8,55161.9,48497.6,31944.5,8440.3,34677.96572208673,37351.92150479009,40747.96157737355,41306.8508502726,47415.85586196058
1955-10-01,55935.6,55192.4,48274.1,31758.5,8316.4,34803.39494359709,37667.435665306446,40885.26787500739,41547.55942090141,48060.408793286166
1955-11-01,55965.3,55041.9,48135.9,31686.0,8229.6,35042.287983552415,37814.888674083566,41152.054349826954,41941.937079729636,48813.41799637564
1955-12-01,55788.5,55002.5,47988.3,31352.8,8190.2,35104.610185526595,38016.302021486634,41420.63344933832,42086.27564842909,49597.03001143874
1956-01-01,55890.5,55302.0,48067.7,31230.7,7929.4,35359.59993253443,38231.584880102004,41938.38891371219,42495.66096294747,50105.657398918316
1956-02-01,55893.1,55326.4,48448.3,31789.3,8515.6,35137.22094383043,38049.43389329202,41536.713463446344,42511.66870676019,50995.59355081574
1956-03-01,55906.1,55210.6,48294.6,31512.8,8349.2,35352.56630147237,38244.2505604873,41758.039205243665,42752.82007540555,51625.6238957189
1956-04-01,55718.9,55115.1,48380.1,31283.6,8205.9,35403.01612527761,38365.5857839346,42264.45749076745,43054.79126828459,52250.88471010696
1956-05-01,55862.5,55258.6,48236.4,31202.8,8020.3,35724.831128595506,38842.80977421118,42399.270274642964,43431.284318001824,52904.01309300122
1956-06-01,55683.3,55110.7,48131.4,31205.5,8039.6,35771.003645255594,38935.31696730417,42711.62949413713,43815.520000844954,53760.0630542785
1956-07-01,55715.1,54978.8,47900.9,30872.3,7898.8,36025.26795474408,39113.18214504045,42744.6523450595,43964.18102412715,54519.376548974666
1956-08-01,55713.7,55234.7,48022.8,30881.2,7625.6,36232.4233435254,39687.86478131571,43421.24230476241,44466.00583666883,54890.95958392825
1956-09-01,55642.9,55012.6,47848.3,30541.8,7562.2,36365.407055637676,39732.515333302406,43652.61992659267,44587.28456958204,55764.565138326565
1956-10-01,55777.8,55303.1,47931.2,30594.1,7573.1,36309.00917831704,39514.183086442375,43582.30075462592,44750.70128426294,56307.28602045111
1956-11-01,55763.1,55214.5,48271.8,30702.5,7720.2,36442.30227039267,39681.09567609689,43743.57663779525,44771.53603016095,57036.87392438918
1956-12-01,55676.1,55317.4,48209.2,30685.9,7634.5,36618.40619885639,40104.92236399694,44138.186117389705,45258.82531359677,57734.36883838488
1957-01-01,55605.1,55160.3,48285.4,30450.4,7495.3,36739.29401865105,40247.66814239056,44753.60749009825,45531.42138787235,58531.61647453641
1957-02-01,55609.6,55140.7,48397.7,30269.3,7364.1,36959.98124759024,40515.17728251147,45431.43717014072,45707.207151243296,59398.8566471518
1957-03-01,55451.0,54954.1,48457.8,30274.7,7054.3,37050.260499908916,40607.39417738816,45955.89866817969,46184.279247019396,59705.83465076461
1957-04-01,55400.0,54941.2,48415.8,29946.8,7042.9,37238.28215992545,40917.70541464905,46497.72497134791,46317.16911038498,60696.59736838631
1957-05-01,55212.5,54728.8,48285.4,29700.0,6976.6,37289.55480873073,40977.16454807482,46676.97263628918,46601.47952348484,61477.77561796891
1957-06-01,55309.3,54790.5,48497.9,29890.5,6754.6,37566.70312642419,41366.664612543595,47513.78169296427,47285.361167302326,62231.76352992453
1957-07-01,55428.1,55127.3,49091.8,30219.9,6939.3,37504.06968864994,41281.82129931877,48166.464612724994,47673.316949724496,62782.477769677105
1957-08-01,55314.2,54949.7,49090.1,30119.8,6919.3,37621.050283052966,41340.41073829711,48578.9184991231,48261.70582655454,63895.37623864326
1957-09-01,55290.6,55007.8,49085.8,30101.3,6680.8,37808.17577426579,41736.950854395465,49228.45489664601,48865.10877928249,64367.53180809924
1957-10-01,55225.6,54782.4,49125.9,30086.1,6586.4,37952.80315573249,41767.665628383445,49661.771949972856,49363.56051999401,65175.79662250227
1957-11-01,55162.2,54754.1,49202.9,30028.9,6352.7,38154.94716954947,42120.916591931426,50373.77641734283,49891.81493424882,65710.01231006497
1957-12-01,55160.0,54707.4,49136.4,29886.7,6255.7,38314.18774350364,42269.68632799002,50735.30932244766,50331.93731849921,66605.8685820301
1958-01-01,55072.7,54629.7,48855.4,29887.9,6087.4,38498.01202962737,42525.302909757935,50799.92415829859,50841.230642177725,67307.72037639268
1958-02-01,54987.3,54595.9,49043.9,30013.9,5884.4,38623.21217451725,42795.793480849905,51409.6847911191,51631.64819382692,67814.37306058356
1958-03-01,55103.4,54562.8,48870.4,30025.2,5959.6,38586.45734854537,42639.362708391614,51387.55392807787,52141.65649842744,68630.66409282532
1958-04-01,55146.7,54859.3,48793.4,30156.3,5649.8,38849.56779982672,42875.32534389033,51757.51711630345,52893.61057201942,69137.52250856422
1958-05-01,54939.7,54665.2,48675.3,29973.6,5696.2,38871.03852498812,42959.89349459175,52111.45242874481,53248.41847875756,70073.06185816185
1958-06-01,54946.8,54563.6,48684.3,29899.9,5341.4,39136.835810894176,43167.57820195873,52482.8730096252,53812.93937841014,70464.66162584224
1958-07-01,54831.9,54452.2,48535.6,29905.9,5130.2,39205.609775614736,43300.07854701626,52765.96746894094,54208.825280780824,71147.44963774565
1958-08-01,54823.0,54330.8,48304.2,29678.7,4956.8,39467.273182276534,43428.86066712371,52884.146403666615,54457.270554383584,71827.66140608134
1958-09-01,54633.7,54155.1,48359.8,29556.7,4749.9,39518.46882169286,43551.63020918709,53499.96543674896,54914.45062003261,72413.60751413446
1958-10-01,54618.0,54280.1,48270.9,29319.0,4661.6,39724.960065709594,44022.986850179885,53759.86539634687,55234.556144178845,73062.81787490968
1958-11-01,54443.4,54116.6,48043.7,29510.1,4464.8,39787.91245871316,44175.37558716017,53904.006893015125,55778.278485147486,73927.51359992211
1958-12-01,54537.6,54386.1,48276.0,29429.2,4854.6,39719.2953311108,43946.15465784363,54226.16892444295,55913.23510543416,75065.64349835564
1959-01-01,54536.5,54322.5,48167.6,29398.7,4625.6,39996.41890705827,44262.21904426192,54547.53519067363,56451.1050340617,75687.58659442702
1959-02-01,54437.7,54211.7,48093.8,29281.0,4672.8,40093.51556895177,44394.73446517428,54858.064718163565,56788.58593258175,76683.12381743456
1959-03-01,54411.6,54078.1,47957.3,29256.2,4536.2,40322.4513342133,44541.35131774867,55091.84285062334,57221.71319001206,77325.49646038133
1959-04-01,54222.5,53831.2,47891.9,29027.7,4482.5,40374.03843024211,44552.605442704844,55511.284897657424,57531.97628382169,78218.82323364085
1959-05-01,54251.8,53991.5,47744.9,29077.0,4226.6,40627.45967063273,44993.830049241195,55739.17999327064,58054.42113128757,78693.82614806718
1959-06-01,54068.1,53780.3,47762.0,28907.7,4390.4,40682.66080681329,45056.192466370994,56178.06205866011,58428.94482103882,79900.08687966352
1959-07-01,54045.7,53699.4,47503.2,28718.9,4223.5,40946.175906236276,45255.03312020787,56266.19765562822,58687.06481452659,80491.10131940742
1959-08-01,54123.7,54011.0,47562.7,28567.2,4355.9,40788.389897807385,45439.22849990597,56906.0654745071,59141.01299023471,81644.26047249127
1959-09-01,54118.6,53887.3,47480.8,28616.9,4366.4,41053.812785984526,45539.89719172995,56838.68719415989,59377.33132068725,82462.65930198683
1959-10-01,53912.6,53715.8,47385.7,28477.7,4446.1,41080.73942913448,45676.71528811054,57207.531446771354,59751.71416239407,83324.88292414352
1959-11-01,54005.9,53697.4,47278.5,28237.2,4450.2,41401.7384698061,45866.69742295481,57388.71516489786,59998.75802196057,84417.31321871518
1959-12-01,53824.5,53613.8,47253.9,28340.3,4194.6,41465.13590757099,46157.91502560651,57872.84247276764,60697.6195616892,84836.20762674914
1960-01-01,53837.4,53530.6,47215.3,27954.9,4358.9,41712.753437980784,46316.2776286888,58293.36559363624,60793.71359030472,86181.25854841579
1960-02-01,53647.6,53385.0,47013.3,27823.3,4055.1,41765.40084328175,46504.12016155128,58392.657283923785,61166.36447527532,86689.70014617269
1960-03-01,53716.4,53384.0,46950.7,27843.5,4165.7,42057.58040327305,46783.70886204822,58823.9987269935,61752.76223106677,87753.78042385285
1960-04-01,53554.8,53282.6,46768.0,27680.7,3825.7,42146.46301174038,47022.11743708132,58945.87464596464,62058.9142098055,88207.4322291243
1960-05-01,53742.3,53517.5,46850.9,27606.6,4354.7,42195.081145792334,46962.842797376645,59217.69097988277,62316.38839057062,89703.95528880293
1960-06-01,53733.3,53451.0,46660.6,27562.6,4199.5,42429.16372823977,47153.16500040644,59446.2842072105,62661.3604388258,90550.99452334395
1960-07-01,53545.4,53479.4,46731.0,27436.9,4063.1,42482.23766129924,47586.73626874521,59932.5784138588,63142.770217711135,91250.39046303065
1960-08-01,53501.1,53241.6,46569.5,27251.7,4037.6,42721.05026395717,47610.16948836783,60246.2456372917,63395.29269424418,92116.22537521702
1960-09-01,53424.2,53306.2,46524.6,27074.0,4167.6,42829.306578037846,47935.26261254165,60654.885680655054,63855.42968299564,93374.7597768143
1960-10-01,53363.9,53126.5,46337.5,27033.3,4179.5,43072.74205199593,48020.03758212699,60738.12398092505,64169.2947047106,94502.22362139892
1960-11-01,53154.7,53038.0,46403.9,26960.5,4016.5,43096.287548413675,48299.243720787184,61347.639846750964,64744.061615718856,95086.0067135129
1960-12-01,53244.7,52976.8,46204.3,26932.3,4051.7,43424.10562259426,48490.11656639136,61516.438757005795,65252.3982310229,96219.46620449406
1961-01-01,53332.5,52955.9,46018.6,26777.5,3997.0,43392.49701465297,48728.514126627015,61755.1250832224,65611.94558792881,97068.8642448122
1961-02-01,53197.2,53066.2,46283.1,27134.7,4369.6,43488.76008758534,48847.5543657112,62000.074705062514,66207.55721558948,98157.34683908733
1961-03-01,53146.0,52858.1,46253.9,26851.0,4153.4,43747.416271643335,48913.97812816109,62353.04085688203,66450.17814038492,98638.87422782832
1961-04-01,53130.2,52851.9,46118.1,26841.4,4057.2,43915.188968940776,49219.77897022475,62686.11630168908,66969.85591907917,99613.45198293029
1961-05-01,53045.2,52688.5,46020.2,26649.5,3896.3,44125.976357595886,49348.35087923405,62860.43119447683,67307.57919721144,100325.78797769018
1961-06-01,52927.2,52762.7,46053.1,26676.0,3823.6,44224.25684521008,49718.261141154166,63481.72823463106,68006.17430629206,101171.65034094833
1961-07-01,53005.5,52625.0,45890.1,26441.7,3889.0,44589.40505259567,49805.428559545595,63650.611314948634,68315.30510971413,102300.02764418004
1961-08-01,52899.8,52532.6,45804.2,26550.8,3580.3,44712.85033733467,50039.270254471136,63950.19722461118,68931.85541259007,102780.98733504493
1961-09-01,52910.8,52329.5,45652.9,26313.6,3682.1,45067.6238823393,50130.78916472169,64157.78899704141,69279.06439610744,103921.71956755614
1961-10-01,53195.6,52700.6,45699.4,26404.3,3410.5,45173.68541086724,50317.25271426403,64549.754040670916,70004.7336892299,104283.8576921983
1961-11-01,53098.2,52573.7,45860.2,26733.3,3572.1,45372.46009983491,50534.29901902711,64828.586607384175,70573.87601663318,105327.7286699313
1961-12-01,53196.0,52414.5,45591.5,26425.2,3291.6,45787.17156099026,50651.78218702893,64906.16527855167,70826.9755088648,105889.23461617804
1962-01-01,53090.7,52382.1,45614.9,26523.8,3476.0,45881.36845302483,50949.513578421705,65436.56775407259,71583.05531618498,107172.63723648038
1962-02-01,53155.3,52434.5,45407.0,26380.6,3227.9,46266.21266119706,51160.68109452371,65663.85663869178,71933.89311984844,107748.31180781132
1962-03-01,53055.0,52229.1,45359.7,26355.3,3148.6,46443.100008983514,51241.36212833014,65961.91125701087,72400.51046635576,108777.90105347685
1962-04-01,52957.1,52047.3,45174.5,26051.7,3281.1,46642.42305848472,51333.3602078934,66141.14116586001,72680.03065040936,109878.8797484151
1962-05-01,53024.5,52108.9,45190.2,26120.9,3272.5,46937.5582834377,51746.84078483546,66530.36761893859,73330.51186913185,110761.96583790745
1962-06-01,53123.3,52057.5,45015.3,26098.0,3451.4,46947.67170904218,51925.95418959578,66703.71381473282,73822.23432905112,111792.5395783537
1962-07-01,53025.2,52044.9,45261.2,26390.0,3870.6,47101.91373276556,51873.9555256564,66941.76977011852,74239.27471209412,112716.30720155605
1962-08-01,53027.4,52061.9,45151.6,26199.5,4209.5,47364.62158662776,52232.98520719982,67228.66623728635,74697.94305400919,114203.54277074285
1962-09-01,52990.7,51813.8,44163.3,26390.7,4063.7,47615.29204187803,52247.99015549679,65733.87878078295,75441.07295108621,114764.32529516982
1962-10-01,52372.9,51352.3,44093.2,25766.3,4575.0,47040.25927614204,51848.04980592595,65998.20401899838,75029.90090779365,116476.25238076072
1962-11-01,52300.0,51273.8,43425.2,22890.1,4529.4,47248.77901067921,52004.03459732716,65276.25045536172,70728.16781083599,117337.40095146323
1962-12-01,52223.7,49898.4,43012.5,20467.6,4786.4,47387.55928640155,50081.650984944354,64840.95500059271,67301.3343077238,118577.25013040607
1963-01-01,51810.1,49754.0,41104.0,19536.4,4613.3,47013.28002324922,50268.161551600206,61900.192536049515,66689.68534805231,119253.22939680362
1963-02-01,51609.1,49735.2,41138.7,19415.6,1064.9,47055.72898513232,50448.24784491749,62305.914049684456,67119.16663202678,112006.69101387549
1963-03-01,51820.8,49879.4,41062.6,19289.3,-1462.7,47144.44146049693,50683.83783855012,62315.46669469609,67345.8507210685,107277.00377066425
1963-04-01,51629.3,49744.4,41380.7,19720.7,-1097.5,47199.99550152991,50806.981686028594,62894.467509825095,68225.25060260965,108718.95608632379
1963-05-01,51672.8,49625.4,41180.0,19428.3,-1100.2,47548.51314137547,51034.31752632514,63103.256248082085,68508.2108867251,109700.32880513876
1963-06-01,51481.7,49524.7,41158.0,19473.3,-1124.1,47606.01290231682,51184.37081560043,63657.29292600076,69207.13116764453,110880.47758880831
1963-07-01,51484.5,49612.9,41146.7,19567.7,-1244.8,47843.70627423794,51649.44023026775,63919.050333735926,69936.40111169258,111664.71678078682
1963-08-01,51328.8,49528.7,41208.7,19380.2,-1256.4,47931.33293878743,51792.34001503826,64564.546957203136,70306.00068557449,112855.19662942716
1963-09-01,51230.4,49484.5,41202.2,18885.0,-1218.3,48133.666940672156,52135.04282842992,65005.2050117698,70236.34420852055,113998.13905113637
1963-10-01,51131.4,49528.0,41122.4,18684.3,-1259.4,48244.266188267844,52498.62327295408,65470.91984860318,70674.10344052638,115085.0140608141
1963-11-01,51307.3,49497.0,41471.5,19175.8,-1025.9,48353.71524287342,52762.26743295503,66396.33291789875,71814.28551602931,116462.49622990226
1963-12-01,51249.6,49635.1,41590.7,19325.3,-739.6,48617.160635589025,52960.77682052382,66440.5722415821,72259.46830700536,117680.55643157217
1964-01-01,51062.3,49548.8,41621.7,19225.3,-297.1,48677.91005750624,53235.277878907,67104.7384914889,72822.41724916243,119491.80674697139
1964-02-01,50963.8,49633.9,41455.4,19123.6,-427.7,48883.51430765455,53732.21469979108,67329.55624257613,73274.12680733751,120461.89661470184
1964-03-01,50895.6,49511.6,41698.1,19264.9,-308.2,49022.78203538524,53851.70723219666,68147.41487466711,74128.89651958345,121904.60305938683
1964-04-01,50829.6,49530.1,41699.6,19342.0,-462.6,49190.08684503639,54315.49438123323,68620.1478125938,74883.8470180467,122896.52622267239
1964-05-01,50657.2,49372.7,41645.3,19291.9,-197.8,49276.10191518354,54388.86708805601,69097.590406693,75412.61529221162,124469.08084143272
1964-06-01,50573.4,49403.7,41493.7,19269.5,45.6,49501.43639711657,54818.604838645384,69356.01379524826,76097.93248067475,126197.4015300368
1964-07-01,50471.0,49358.2,41607.9,19470.1,223.4,49608.76632433246,55045.154905969895,69940.2577132004,76859.5423938296,127526.36523410452
1964-08-01,50568.5,49390.1,41716.6,19635.4,461.8,49665.45622518286,55417.92598759599,70183.3118549797,77519.127737324,128939.94064317955
1964-09-01,50485.7,49321.2,41652.9,19481.7,584.3,49884.330501337456,55364.96214875734,70426.17019648623,77895.91247163672,130431.41605375941
1964-10-01,50316.5,49377.6,41707.2,19755.0,902.9,49974.56553588035,55783.95970209039,70969.51325557569,78850.20399325405,131709.37664456543
1964-11-01,50264.4,49331.9,41718.9,19619.2,1005.9,50227.16055017777,56140.23417092831,71266.75654414351,79345.95623778751,133208.33977015936
1964-12-01,50168.4,49268.5,41691.1,19550.7,1204.6,50278.25535336104,56305.026284910346,71641.47075767096,79912.14091189287,134687.8657103156
1965-01-01,50081.7,49188.2,41519.6,19676.3,1417.6,50503.93542652559,56601.70860554182,71767.23899477626,80547.17961687631,136239.11983812382
1965-02-01,49905.3,49207.7,41563.0,19750.6,1317.2,50587.12722960698,56854.465088113844,72410.29324619532,81336.54012967767,137733.65745105458
1965-03-01,49967.6,49100.2,41339.8,19732.4,1553.2,50899.5942686296,57098.187201813445,72602.08731587695,81922.73744368328,139239.80918927843
1965-04-01,49776.2,48932.6,41451.4,19780.8,1566.4,50959.321844432394,57232.012303139105,73076.70229773037,82615.2566926957,140591.89397464483
1965-05-01,49877.4,49232.9,41513.3,20187.2,1991.2,51001.07953802982,57525.69280368942,73122.76333377088,83339.40395461868,142149.49721316484
1965-06-01,49707.0,49042.3,41667.3,20256.4,2291.5,51093.510544664845,57614.12477673239,73843.96427761266,84045.25775530441,144080.42345875985
1965-07-01,49616.6,48975.7,41565.8,20174.6,2746.1,51318.00273501601,57786.476284200304,74226.97934459022,84621.61265986104,145858.2848151284
1965-08-01,49624.9,49013.1,41441.0,20024.4,3199.9,51584.17507218447,58175.49999489093,74391.19094504551,85064.65379306104,147902.10316170476
1965-09-01,49432.5,48816.1,41524.0,20081.0,3557.5,51643.782969384505,58256.4724500396,75129.74234098119,85865.05057226589,149641.0201435793
1965-10-01,49379.4,48632.2,41505.7,20300.1,4082.6,51784.42517076603,58359.14259670221,75290.31514972191,86440.59225522078,151678.39675386282
1965-11-01,49208.1,48505.0,41413.5,20375.4,4408.0,51868.104848205556,58461.568496843385,75730.04892269206,87188.44454933998,153567.8381758368
