terrain_type,Flat,Flat,Flat,Flat,Flat,Flat,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous,Mountainous
name,Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI,Admiral AI,Admiral AI,Admiral AI,trAIns AI,trAIns AI,trAIns AI
quartile,q1,q2,q3,q1,q2,q3,q1,q2,q3,q1,q2,q3
date,,,,,,,,,,,,
1960-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1960-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-04-01,1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-05-01,1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-06-01,1.0,1.0,1.0,1.0,1.0,180.0,1.0,1.0,1.0,1.0,1.0,1.0
1961-07-01,1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1961-08-01,1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1961-09-01,1.0,1.0,1.0,1.0,1.0,34929.75,1.0,1.0,1.0,1.0,1.0,1.0
1961-10-01,1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1961-11-01,1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1961-12-01,1.0,1.0,1881.25,1.0,1.0,69145.0,1.0,1.0,1.0,1.0,1.0,10935.0
1962-01-01,1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1962-02-01,1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1962-03-01,1.0,1.0,11340.0,1.0,12426.0,91622.0,1.0,1.0,13023.25,1.0,1.0,29275.0
1962-04-01,1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1962-05-01,1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1962-06-01,1.0,5722.5,27321.25,1.0,35364.5,103090.25,1.0,1.0,11171.5,1.0,1.0,47773.5
1962-07-01,1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1962-08-01,1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1962-09-01,1.0,7596.5,38389.25,1.0,57323.0,108503.25,1.0,1.0,31403.5,1.0,1.0,75454.25
1962-10-01,1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1962-11-01,1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1962-12-01,1.0,12363.0,52850.75,19328.25,78981.0,144708.0,1.0,1.0,49605.5,1.0,24393.5,100469.0
1963-01-01,3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
1963-02-01,3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
1963-03-01,3357.0,35986.5,86726.5,21145.5,97821.0,186556.0,1.0,2453.5,62648.25,1.0,20905.0,121967.75
1963-04-01,16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
1963-05-01,16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
1963-06-01,16891.0,65214.0,122977.5,33091.5,117201.0,213153.25,1.0,18438.0,87749.0,1.0,43016.0,150857.75
1963-07-01,45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
1963-08-01,45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
1963-09-01,45792.75,87451.0,141860.0,35054.5,138062.5,267032.25,1.0,30653.5,107842.25,3682.0,66380.5,174906.5
1963-10-01,61075.0,113033.0,167754.0,59277.0,145988.0,285729.5,1.0,44622.5,124608.75,16086.75,89377.5,200282.75
1963-11-01,61075.0,113033.0,167754.0,59277.0,145988.0,285729.5,1.0,44622.5,124608.75,16086.75,89377.5,200282.75
1963-12-01,61075.0,113033.0,167754.0,59277.0,145988.0,285729.5,1.0,44622.5,124608.75,16086.75,89377.5,200282.75
1964-01-01,70820.0,135236.5,203996.25,61691.0,164104.0,304806.75,13147.5,67202.0,154834.0,24661.75,109908.5,223712.75
1964-02-01,70820.0,135236.5,203996.25,61691.0,164104.0,304806.75,13147.5,67202.0,154834.0,24661.75,109908.5,223712.75
1964-03-01,70820.0,135236.5,203996.25,61691.0,164104.0,304806.75,13147.5,67202.0,154834.0,24661.75,109908.5,223712.75
1964-04-01,99113.5,165050.5,247645.0,69433.0,206048.0,347645.25,21113.25,82504.5,174987.5,32848.75,120560.5,227870.25
1964-05-01,99113.5,165050.5,247645.0,69433.0,206048.0,347645.25,21113.25,82504.5,174987.5,32848.75,120560.5,227870.25
1964-06-01,99113.5,165050.5,247645.0,69433.0,206048.0,347645.25,21113.25,82504.5,174987.5,32848.75,120560.5,227870.25
1964-07-01,128347.5,184699.5,268419.75,76095.0,241592.0,366579.5,16650.5,99182.0,187939.5,39999.0,141593.0,255259.5
1964-08-01,128347.5,184699.5,268419.75,76095.0,241592.0,366579.5,16650.5,99182.0,187939.5,39999.0,141593.0,255259.5
1964-09-01,128347.5,184699.5,268419.75,76095.0,241592.0,366579.5,16650.5,99182.0,187939.5,39999.0,141593.0,255259.5
1964-10-01,137894.25,208282.0,313088.5,93021.5,276040.5,395694.0,31181.0,120936.5,212736.5,56136.25,163648.5,291563.75
1964-11-01,137894.25,208282.0,313088.5,93021.5,276040.5,395694.0,31181.0,120936.5,212736.5,56136.25,163648.5,291563.75
1964-12-01,137894.25,208282.0,313088.5,93021.5,276040.5,395694.0,31181.0,120936.5,212736.5,56136.25,163648.5,291563.75
1965-01-01,147501.75,249665.5,342220.75,102375.0,313613.0,421009.5,36331.0,132243.0,243047.25,57982.75,181494.0,332479.5
1965-02-01,147501.75,249665.5,342220.75,102375.0,313613.0,421009.5,36331.0,132243.0,243047.25,57982.75,181494.0,332479.5
1965-03-01,147501.75,249665.5,342220.75,102375.0,313613.0,421009.5,36331.0,132243.0,243047.25,57982.75,181494.0,332479.5
1965-04-01,171817.25,270070.5,411170.75,137603.25,353781.0,467550.75,50561.0,146433.5,292202.0,60110.25,205015.5,389825.0
1965-05-01,171817.25,270070.5,411170.75,137603.25,353781.0,467550.75,50561.0,146433.5,292202.0,60110.25,205015.5,389825.0
1965-06-01,171817.25,270070.5,411170.75,137603.25,353781.0,467550.75,50561.0,146433.5,292202.0,60110.25,205015.5,389825.0
1965-07-01,183695.25,307920.5,460754.25,151542.5,363198.5,516523.5,50593.75,178884.5,334368.0,80377.0,222775.0,438525.0
1965-08-01,183695.25,307920.5,460754.25,151542.5,363198.5,516523.5,50593.75,178884.5,334368.0,80377.0,222775.0,438525.0
1965-09-01,183695.25,307920.5,460754.25,151542.5,363198.5,516523.5,50593.75,178884.5,334368.0,80377.0,222775.0,438525.0
1965-10-01,189956.25,333216.0,502325.25,161045.25,416108.0,577090.0,55671.5,210908.5,372942.5,69028.25,258175.0,469389.5
1965-11-01,189956.25,333216.0,502325.25,161045.25,416108.0,577090.0,55671.5,210908.5,372942.5,69028.25,258175.0,469389.5
1965-12-01,189956.25,333216.0,502325.25,161045.25,416108.0,577090.0,55671.5,210908.5,372942.5,69028.25,258175.0,469389.5
1966-01-01,218985.5,371014.0,546670.25,173150.5,458306.5,630657.25,66137.75,237339.0,422083.25,96993.5,285750.0,497712.25
1966-02-01,218985.5,371014.0,546670.25,173150.5,458306.5,630657.25,66137.75,237339.0,422083.25,96993.5,285750.0,497712.25
1966-03-01,218985.5,371014.0,546670.25,173150.5,458306.5,630657.25,66137.75,237339.0,422083.25,96993.5,285750.0,497712.25
1966-04-01,240161.75,398589.5,582846.5,231016.0,483001.5,695523.25,67159.0,241594.5,459098.25,124348.75,303563.5,521687.5
1966-05-01,240161.75,398589.5,582846.5,231016.0,483001.5,695523.25,67159.0,241594.5,459098.25,124348.75,303563.5,521687.5
1966-06-01,240161.75,398589.5,582846.5,231016.0,483001.5,695523.25,67159.0,241594.5,459098.25,124348.75,303563.5,521687.5
1966-07-01,245627.75,423937.5,630354.25,231632.75,506649.0,784686.0,70049.5,258862.0,483336.5,146649.25,334285.5,545705.0
1966-08-01,245627.75,423937.5,630354.25,231632.75,506649.0,784686.0,70049.5,258862.0,483336.5,146649.25,334285.5,545705.0
1966-09-01,245627.75,423937.5,630354.25,231632.75,506649.0,784686.0,70049.5,258862.0,483336.5,146649.25,334285.5,545705.0
1966-10-01,231361.25,439820.0,638100.75,281814.5,553039.0,866302.25,106181.0,278547.5,525896.75,165882.75,366987.5,598477.75
1966-11-01,231361.25,439820.0,638100.75,281814.5,553039.0,866302.25,106181.0,278547.5,525896.75,165882.75,366987.5,598477.75
1966-12-01,231361.25,439820.0,638100.75,281814.5,553039.0,866302.25,106181.0,278547.5,525896.75,165882.75,366987.5,598477.75
1967-01-01,235046.5,486969.0,672950.75,308037.0,565227.0,899743.25,120442.75,297701.0,533144.75,182331.75,404930.5,662984.5
1967-02-01,235046.5,486969.0,672950.75,308037.0,565227.0,899743.25,120442.75,297701.0,533144.75,182331.75,404930.5,662984.5
1967-03-01,235046.5,486969.0,672950.75,308037.0,565227.0,899743.25,120442.75,297701.0,533144.75,182331.75,404930.5,662984.5
1967-04-01,242729.0,508344.5,717542.5,334371.0,648735.0,1006128.75,130458.75,315411.5,561401.25,207850.75,441722.5,751270.75
