max_workers,all,minimal
1,422.3569821250021,296.1684398340003
2,216.12173308400088,152.70740625000326
3,154.6976167080029,110.15719695800362
4,125.13651254200158,85.74831283299864
5,112.23471379200056,76.00576325000293
6,107.94571025000188,74.11758650000411
7,99.66820795800233,69.27310016700358
8,94.31223766699986,65.29876887499995
