statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1952-03-01,57467.5,55333.04,49353.54,36060.68,20218.22,26543.609894946505,27940.55986755908,29765.749672393464,31001.971147628134,31594.870307157813
1952-04-01,57072.94,55124.92,48935.82,35454.14,19588.68,26331.201314596263,27863.97188590987,29826.363836405413,30977.660328517057,31203.23821463381
1952-05-01,55401.04,53516.46,47399.9,33878.88,18093.8,27343.984670706584,28740.01320580413,30433.248811027017,30881.790707992386,30304.62864221994
1952-06-01,55397.5,53654.74,47495.46,33897.62,18202.4,27397.551492900286,28936.3511484804,30593.000507459015,31149.680278694643,30729.74131398586
1952-07-01,55408.24,53837.46,47778.96,34554.7,18829.36,27404.785627480524,29124.432090257145,30741.210753153428,31357.806956358487,31026.171926926207
1952-08-01,53945.7,52505.8,46342.58,33106.52,17439.46,27295.48531649997,29047.39791078979,30597.48681362239,30511.58762967384,29393.806308722487
1952-09-01,52452.06,51000.22,44642.12,31203.4,15560.7,27202.23313942877,29100.52573077942,30596.492345071856,29902.779165086286,27722.860374736636
1952-10-01,52461.72,51119.74,44680.04,31250.06,15583.86,27321.503849039153,29297.35517199253,30804.319814319177,30157.8296628905,28040.539356955665
1952-11-01,50721.0,49389.76,42743.84,29354.94,13746.36,27125.25114263498,29249.245080479588,30508.69574557927,29154.71559744247,25928.46319596458
1952-12-01,49503.06,48175.56,41374.76,27818.28,12298.54,26959.99190971385,29219.1421832486,30520.93367026129,28704.58463206865,24468.747430649124
1953-01-01,49394.46,48305.36,41446.2,27865.38,12301.36,27055.714688669632,29487.549111488544,30802.572925928485,29080.350209755743,24932.550905257674
1953-02-01,49517.82,48370.8,41603.3,27972.66,12505.16,27193.528632701407,29635.161160007076,31034.777867346016,29385.485893000903,25559.336041294904
1953-03-01,49474.22,48459.3,41681.9,28060.72,12556.66,27215.1755537237,29756.696716530758,31290.31006443642,29702.869194907682,26068.167749590997
1953-04-01,49561.98,48419.2,41763.72,28069.58,12614.48,27277.242436851557,29828.506347766986,31413.114181390247,29916.87998512695,26471.63392815265
1953-05-01,49602.12,48746.54,42091.88,28401.28,12918.28,27397.30165742158,30021.59838109074,31661.747457569974,30257.627128891327,27062.49629724441
1953-06-01,49556.46,48797.88,42050.38,28376.64,12884.66,27502.174720845593,30120.874151637356,31962.17018945991,30709.679888389375,27631.523570755635
1953-07-01,49569.14,48856.72,42046.74,28302.84,12844.02,27637.232108383305,30300.971478357664,32190.115631348577,31010.044541465482,28129.954559689646
1953-08-01,49581.3,48978.72,42245.46,28444.68,13032.36,27726.80345084952,30549.505149163637,32651.09756833198,31476.891517584707,28876.634882074697
1953-09-01,49615.34,49040.26,42456.5,28564.82,13278.12,27774.754058397884,30570.876006895513,32643.08141670377,31634.914296042578,29358.67452913627
1953-10-01,49646.62,49194.52,42426.12,28712.0,13368.32,27859.67502769139,30782.61435983179,32793.672426396464,31882.74050072757,29792.642110016193
1953-11-01,49685.38,49162.82,42570.94,28844.38,13556.76,27967.147720641147,30951.328124673815,33203.91493478332,32434.407768627938,30575.126149929154
1953-12-01,49712.84,49315.28,42637.02,28949.96,13640.9,27953.659322616382,30939.67598015103,33131.537593134824,32538.26914727346,30920.31851437841
1954-01-01,49765.9,49334.94,42627.64,28920.22,13726.04,28045.63089859096,31099.94160071294,33398.61322964883,32794.14108031357,31423.510701617888
1954-02-01,49811.0,49497.22,42983.92,29106.38,13921.14,28121.231472149368,31168.441981639975,33898.77695273722,33260.3337557898,32096.526236485275
1954-03-01,49769.12,49546.18,42918.3,29117.14,13881.94,28291.79840745659,31395.285822315713,34117.9483271052,33586.27373600405,32465.06432849733
