max_workers,all,minimal,linear
1,1.0,1.0,1
2,1.9542550214551675,1.9394503980319815,2
3,2.7302100130101907,2.6885981852544023,3
4,3.3751698328914164,3.4539273141246625,4
5,3.763158187472522,3.8966576634435532,5
6,3.912679634483157,3.9959266595112872,6
7,4.237629940160785,4.275374411135022,7
8,4.478283970064111,4.535589949650495,8
