Admiral AI,Admiral AI,trAIns AI,trAIns AI
Flat,Mountainous,Flat,Mountainous
6090193,4581543,46124685,23004009
4634504,29700,18437790,22927440
8272364,5408988,43477220,21110332
3729935,2280652,41622238,40170005
4073063,3030691,35198641,34544942
4955126,1283846,39619536,33816215
6591956,1462148,19586151,17162685
